Name,"# of
locations",States,,,,
114 Grocery & Deli Incorporated,1,NY,,,,
1st Oriental Supermarket,2,FL,,,,
A & A Fine Foods,1,NJ,,,,
A & G Fine Foods Incorporated,1,,,,,
A & P Food Stores,109,"CT, DE, GA, IL, IN, LA, MD, MS, NC, NH, NJ, NY, PA, TX",,,,
A G Ferrari Foods,4,CA,,,,
Acme Markets,165,"DE, MD, NJ, OH, PA, VA",,,,
African and Caribbean Supermarket,2,UT,,,,
AG Ferrari Foods,5,CA,,,,
Agro Foods,2,FL,,,,
Aguada Supermarket Incorporated,3,NY,,,,
Ajs Fine Foods,10,AZ,,,,
Akins Natural Food,10,"KS, MO, NE, OK",,,,
AL & James Foods,3,"MN, OK",,,,
Al's Supermarket,5,"FL, IN",,,,
Albertsons,979,"AR, AZ, CA, CO, DE, FL, GA, ID, IL, IN, KS, LA, MD, MO, MT, ND, NE, NJ, NM, NV, NY, OK, OR, PA, TN, TX, UT, WA, WY",,,,
ALDI,856,"AL, AR, CT, GA, IA, IL, IN, KS, KY, MD, MI, MN, MO, MS, NC, NE, NJ, NY, OH, OK, PA, RI, SC, TN, VA, VT, WI, WV",,,,
All American Foods,6,"GA, MA, MN, WI",,,,
American Foods Group,5,"MN, OH, WI",,,,
American Supermarket,2,"AL, NJ",,,,
Americold Logistics,1,OR,,,,
Ameriqual Foods Inc.,1,IN,,,,
Ameristop Food Mart,3,OH,,,,
Amish Market Atlas Park,3,NY,,,,
Ammons Supermarket LLC,2,NJ,,,,
Anderson Supermarket,2,,,,,
Andys Iga Foodliner,3,ME,,,,
Anshas West Indian Supermarket,2,FL,,,,
Apna Bazaar,5,"CA, NY, TX",,,,
Apples Supermarket,2,OH,,,,
Arck Foods,3,NE,,,,
Arena Supermarket,1,FL,,,,
Arends Family Foods,2,NE,,,,
Aria Foods,4,NJ,,,,
Arley Country Supermarket,1,AL,,,,
Armando's Supermarket,3,"FL, IL",,,,
Arteaga's Starlite Supermarket,6,CA,,,,
Artel Supermarket,1,FL,,,,
Associated Food Stores,71,"NH, NJ, NY, WA",,,,
Atkinsons Market,2,ID,,,,
Austin Foods,7,"IL, IN, NC, NY",,,,
Azteca Grocery,2,,,,,
Azteca Mkt.,4,CA,,,,
Azteco Mkt.,1,,,,,
B & B Foods,5,"MT, TX",,,,
B & F Super Foods,2,CO,,,,
B & G Foods,9,"AR, DE, MD, ME, NJ, TN",,,,
Babco Foods International,2,NJ,,,,
Baker's,12,NE,,,,
Baldor Speciality Foods,5,"MA, NY",,,,
Bar S Foods,4,"AZ, OK",,,,
Baraboo Sysco Food,1,WI,,,,
Bashas,30,AZ,,,,
Basic American Foods,15,"CA, ID, IL, MD, WA, WI",,,,
Beit Brothers Supermarket,3,CT,,,,
Bel Air Supermarkets,7,CA,,,,
Ben E Keith Foods,11,"AR, KS, LA, OK, TN, TX",,,,
Benders Foods,3,"IA, WI",,,,
Benetti Foods,2,MN,,,,
Berner Foods Incorporated,2,IL,,,,
Better Brand Foods Inc.,2,CA,,,,
Bi lo Inc,29,"AL, FL, GA, LA, NC, PA, SC, TN",,,,
BI Rite Supermarket,7,"MD, MI, OH, SC, TX",,,,
Bi-Lo,122,"AL, GA, MT, NC, PA, SC, TN",,,,
BI-Rite Supermarket,6,"CA, NC, OH, OK, TX",,,,
Big Apple Supermarket,3,"NC, OH",,,,
Big Bear Natural Foods,3,"NJ, PA",,,,
Big M,5,NY,,,,
Big Saver Foods,14,CA,,,,
Big Sky Premium Meats & Specialty Foods,2,MT,,,,
Big Star Grocery,1,MS,,,,
Big Star Super Market,11,"AL, LA, MS, TN",,,,
Big Top Supermarket,2,FL,,,,
Big Town Foods,2,AL,,,,
Big Value Super Mkt.,1,CT,,,,
Big Y Foods,65,"KY, MA",,,,
Bil Mar Foods,5,"IA, TX",,,,
Bill & Eileen's Market,1,NJ,,,,
Bill & Sons Super Market,1,AL,,,,
Bill Martin Foods,3,TN,,,,
Bills Family Foods,2,IA,,,,
Bills Shursave Supermarket,4,PA,,,,
Bills Super Market,1,TX,,,,
Billys Quick Stop & Farmers Market,1,MS,,,,
BJ's Wholesale Club,130,"CT, DE, FL, GA, MA, MD, ME, NC, NH, NJ, NY, OH, OK, PA, RI, TN, VA",,,,
Boardman Foods,5,"OR, WA",,,,
Bravo Supermarket,53,"CT, FL, NJ, NY, PA, RI",,,,
Breaux Mart Supermarket,9,LA,,,,
Brookshire Brothers,112,"AR, LA, MS, TX",,,,
Brookville Supermarket,2,"DC, MD",,,,
Brothers Supermarket,9,"FL, MA, MI, NJ",,,,
Broughton Foods,11,"OH, WV",,,,
Broulims Supermarket,7,ID,,,,
Broussards Supermarket Inc,4,"LA, WA",,,,
Bruce Foods Corporation,4,"LA, NC, TX",,,,
Buche Foods,3,SD,,,,
Buehler's Buy-Low Supermarkets,2,IN,,,,
Bunge Foods,7,"CA, IL, UT",,,,
Buschs Family Supermarket,4,MI,,,,
Butera Finer Foods,5,IL,,,,
Buy Rite Foods,2,"FL, IA",,,,
Buy Rite Supermarket,3,"NJ, NY",,,,
Bybee Foods LLC,2,WA,,,,
C & R Super Market,17,MO,,,,
C Town,106,"CT, IL, MA, NJ, NY, OH, PA",,,,
Cal Maine Foods,20,"AR, GA, KY, LA, MS, NC, NM, OH, SC, TX",,,,
Cala Foods Inc,2,CA,,,,
Calderon Market,2,MA,,,,
California Creative Foods,2,CA,,,,
California Custom Foods,2,,,,,
California Family Foods,3,,,,,
Cardenas Foods,14,FL,,,,
Carrolls Foods Incorporated,44,"IA, NC, VA",,,,
Carter's Supermarket,3,"IN, LA",,,,
Cash Wise Foods,10,"MN, ND",,,,
Cedar Food Market,8,NJ,,,,
Centurion Foods LLC,6,GA,,,,
Ceriello Fine Foods,6,"CT, MD, NJ, NY",,,,
Certified Grocers of III,5,IL,,,,
Chamberlins Natural Foods,5,FL,,,,
Chavez Supermarket,8,CA,,,,
Checo Supermarket,2,"NJ, NY",,,,
Chestertown Natural Foods,3,MD,,,,
Chief Supermarkets,11,OH,,,,
City Market,60,"CA, CO, DC, FL, GA, IA, ID, KY, MD, MI, MN, MO, NC, NJ, NM, NY, OR, TN, TX, UT, VA, WA, WI, WY",,,,
Costco,662,"AK, AL, AZ, CA, CO, CT, DE, FL, GA, HI, IA, ID, IL, IN, KS, KY, MA, MD, MI, MN, MO, MT, NC, NE, NH, NJ, NM, NV, NY, OH, OR, PA, SC, TN, TX, UT, VA, VT, WA, WI",,,,
County Market,37,"AR, IA, IL, IN, LA, MN, MS, MT, PA, WI",,,,
Crowley Foods,9,"NY, VA",,,,
Ctown,4,NY,,,,
Cub Foods,66,"GA, IA, IL, MN, OH, WI",,,,
Culloden Independent Supermarket,2,WV,,,,
Culloden Independent Supermarket Route 60,1,,,,,
Cumberland Farms,14,"CT, FL, MA, NY, PA",,,,
D & B Foods,2,"IA, MN",,,,
D & D Super Mkt.,2,IN,,,,
D & J Supermarket Corp,2,FL,,,,
D & M Family Foods,4,KY,,,,
D & M Supermarket,2,"CT, MI",,,,
D & R Market,2,"IN, MA",,,,
D' Agostinos Supermarket,24,NY,,,,
Dabo Foods,3,OR,,,,
Dahls Foods,9,IA,,,,
Dakota Natural Foods Inc,5,MN,,,,
Danny's Fine Foods,3,MI,,,,
Dans Super Market,12,"ND, UT",,,,
Dans Supreme Supermarket,5,NY,,,,
Dash Markets,4,,,,,
Dave's Supermarket,16,"IL, MO, NY, OH, PA, WI",,,,
Davids Supermarket,33,TX,,,,
Davisco Foods,6,"GA, MN, SD",,,,
Dawn Foods,3,AR,,,,
Daybreak Foods,6,"IA, MN, WA, WI",,,,
Dean Foods,29,"IL, IN, KY, MA, MI, MN, OH, SD, VA, WI",,,,
Delberts Supermarket,3,OK,,,,
Demoulas Supermarket,9,"MA, NH",,,,
Diamond Crystal Specialty Foods,3,IA,,,,
Diamond Supermarket,8,"NY, TX",,,,
Dicks Supermarket,4,"IA, WI",,,,
Dillon Stores,60,"KS, MO",,,,
Dominick's Finer Foods,68,"CA, IL",,,,
Donelans Supermarket,7,MA,,,,
Dot Foods,11,"CA, ID, IL, IN, MO, NY, OK",,,,
Dover Super Market,3,"AR, NJ",,,,
